order_id,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,order_date,city,country,payment_method,status
ORD00018,CUST0062,PRD015,Nestle Maggi 12pack,Groceries,3,180,540,2025-10-20,Jaipur,India,Debit Card,Completed
ORD00019,CUST0343,PRD009,Adidas Jacket,Clothing,5,4500,22500,2026-02-24,Chennai,India,UPI,Completed
ORD00020,CUST0314,PRD023,Yoga Mat,Sports,3,600,1800,2026-01-16,Chennai,India,Credit Card,Cancelled
ORD00021,CUST0054,PRD006,Levis Jeans,Clothing,1,2500,2500,2026-01-18,Delhi,India,UPI,Completed
ORD00022,CUST0232,PRD013,Fortune Rice 5kg,Groceries,3,350,1050,2025-11-30,Kolkata,India,Net Banking,Completed
ORD00023,CUST0136,PRD023,Yoga Mat,Sports,1,600,600,2026-01-04,Surat,India,Net Banking,Cancelled
ORD00024,CUST0291,PRD022,Football,Sports,5,800,4000,2025-10-15,Kolkata,India,Credit Card,Completed
ORD00025,CUST0119,PRD018,Bookshelf,Furniture,3,4500,13500,2026-01-26,Delhi,India,UPI,Completed
ORD00026,CUST0268,PRD018,Bookshelf,Furniture,5,4500,22500,2025-11-08,Jaipur,India,Net Banking,Completed
ORD00027,CUST0199,PRD010,Puma Shorts,Clothing,2,1200,2400,2025-10-10,Surat,India,Net Banking,Pending
ORD00028,CUST0235,PRD007,Nike T-Shirt,Clothing,3,1500,4500,2025-11-17,Kolkata,India,Credit Card,Cancelled
ORD00029,CUST0266,PRD024,Badminton Racket,Sports,2,1200,2400,2026-02-14,Surat,India,UPI,Completed
ORD00030,CUST0183,PRD017,Office Chair,Furniture,2,6500,13000,2025-12-08,Bangalore,India,Credit Card,Pending
ORD00031,CUST0128,PRD002,Apple iPhone 14,Electronics,4,75000,300000,2026-01-31,Surat,India,Net Banking,Completed
ORD00032,CUST0030,PRD011,Tata Salt 1kg,Groceries,5,25,125,2025-11-07,Bangalore,India,Credit Card,Completed
ORD00033,CUST0454,PRD016,Wooden Study Table,Furniture,2,8500,17000,2026-01-31,Kolkata,India,Credit Card,Completed
ORD00034,CUST0282,PRD012,Amul Butter 500g,Groceries,5,280,1400,2026-02-11,Bangalore,India,Cash on Delivery,Completed
ORD00035,CUST0400,PRD001,Samsung Galaxy S23,Electronics,4,45000,180000,2026-01-18,Chennai,India,Debit Card,Pending
ORD00036,CUST0338,PRD014,Aashirvaad Atta 10kg,Groceries,2,450,900,2026-02-26,Kolkata,India,Cash on Delivery,Completed
ORD00037,CUST0440,PRD003,Sony Headphones,Electronics,4,8000,32000,2025-10-31,Surat,India,Net Banking,Completed
ORD00038,CUST0212,PRD024,Badminton Racket,Sports,3,1200,3600,2025-11-27,Pune,India,UPI,Cancelled
ORD00039,CUST0138,PRD013,Fortune Rice 5kg,Groceries,3,350,1050,2026-02-03,Kolkata,India,Credit Card,Pending
ORD00040,CUST0066,PRD002,Apple iPhone 14,Electronics,1,75000,75000,2026-01-07,Delhi,India,UPI,Completed
ORD00041,CUST0490,PRD023,Yoga Mat,Sports,1,600,600,2025-10-02,Bangalore,India,Credit Card,Cancelled
ORD00042,CUST0032,PRD015,Nestle Maggi 12pack,Groceries,5,180,900,2025-09-13,Jaipur,India,Credit Card,Completed
ORD00043,CUST0160,PRD023,Yoga Mat,Sports,2,600,1200,2026-02-12,Kolkata,India,Cash on Delivery,Cancelled
ORD00044,CUST0144,PRD013,Fortune Rice 5kg,Groceries,2,350,700,2025-11-21,Chennai,India,Credit Card,Completed
ORD00045,CUST0284,PRD007,Nike T-Shirt,Clothing,3,1500,4500,2025-09-04,Delhi,India,Credit Card,Completed
ORD00046,CUST0449,PRD016,Wooden Study Table,Furniture,4,8500,34000,2025-11-21,Hyderabad,India,Cash on Delivery,Cancelled
ORD00047,CUST0339,PRD003,Sony Headphones,Electronics,5,8000,40000,2025-11-23,Surat,India,Cash on Delivery,Pending
ORD00048,CUST0411,PRD018,Bookshelf,Furniture,5,4500,22500,2025-11-17,Pune,India,Cash on Delivery,Pending
ORD00049,CUST0444,PRD009,Adidas Jacket,Clothing,1,4500,4500,2025-09-08,Chennai,India,Debit Card,Completed
ORD00050,CUST0326,PRD024,Badminton Racket,Sports,4,1200,4800,2025-11-02,Kolkata,India,Net Banking,Cancelled
ORD00051,CUST0408,PRD013,Fortune Rice 5kg,Groceries,4,350,1400,2026-01-04,Ahmedabad,India,Net Banking,Cancelled
ORD00052,CUST0499,PRD013,Fortune Rice 5kg,Groceries,3,350,1050,2026-01-03,Delhi,India,Credit Card,Completed
ORD00053,CUST0306,PRD007,Nike T-Shirt,Clothing,3,1500,4500,2025-11-15,Hyderabad,India,Cash on Delivery,Cancelled
ORD00054,CUST0247,PRD019,Sofa 3 Seater,Furniture,1,25000,25000,2025-11-09,Delhi,India,Credit Card,Completed
ORD00055,CUST0432,PRD017,Office Chair,Furniture,3,6500,19500,2025-09-24,Surat,India,Net Banking,Completed
ORD00056,CUST0406,PRD007,Nike T-Shirt,Clothing,5,1500,7500,2025-12-12,Jaipur,India,UPI,Completed
ORD00057,CUST0220,PRD001,Samsung Galaxy S23,Electronics,5,45000,225000,2025-10-08,Kolkata,India,Debit Card,Completed
ORD00058,CUST0268,PRD018,Bookshelf,Furniture,1,4500,4500,2025-11-30,Kolkata,India,Net Banking,Completed
ORD00059,CUST0320,PRD013,Fortune Rice 5kg,Groceries,2,350,700,2026-01-22,Kolkata,India,Cash on Delivery,Completed
ORD00060,CUST0500,PRD018,Bookshelf,Furniture,4,4500,18000,2025-12-15,Bangalore,India,Credit Card,Completed
ORD00061,CUST0220,PRD004,Dell Laptop,Electronics,1,55000,55000,2025-09-30,Ahmedabad,India,UPI,Completed
ORD00062,CUST0303,PRD003,Sony Headphones,Electronics,5,8000,40000,2025-11-24,Ahmedabad,India,Net Banking,Completed
ORD00063,CUST0380,PRD019,Sofa 3 Seater,Furniture,4,25000,100000,2026-02-08,Surat,India,Net Banking,Completed
ORD00064,CUST0182,PRD004,Dell Laptop,Electronics,3,55000,165000,2025-12-15,Delhi,India,Credit Card,Cancelled
ORD00065,CUST0200,PRD010,Puma Shorts,Clothing,4,1200,4800,2025-11-14,Mumbai,India,Credit Card,Completed
ORD00066,CUST0245,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-11-17,Chennai,India,Cash on Delivery,Completed
ORD00067,CUST0192,PRD010,Puma Shorts,Clothing,5,1200,6000,2026-01-07,Bangalore,India,Net Banking,Pending
ORD00068,CUST0282,PRD016,Wooden Study Table,Furniture,4,8500,34000,2025-11-01,Chennai,India,Debit Card,Completed
ORD00069,CUST0104,PRD015,Nestle Maggi 12pack,Groceries,5,180,900,2026-02-03,Mumbai,India,Debit Card,Pending
ORD00070,CUST0045,PRD014,Aashirvaad Atta 10kg,Groceries,5,450,2250,2025-10-23,Hyderabad,India,Debit Card,Cancelled
ORD00071,CUST0124,PRD017,Office Chair,Furniture,1,6500,6500,2025-10-06,Delhi,India,Cash on Delivery,Completed
ORD00072,CUST0393,PRD011,Tata Salt 1kg,Groceries,5,25,125,2025-11-10,Hyderabad,India,Cash on Delivery,Completed
ORD00073,CUST0322,PRD007,Nike T-Shirt,Clothing,2,1500,3000,2025-12-27,Ahmedabad,India,Cash on Delivery,Completed
ORD00074,CUST0281,PRD019,Sofa 3 Seater,Furniture,1,25000,25000,2026-01-05,Delhi,India,Cash on Delivery,Cancelled
ORD00075,CUST0030,PRD003,Sony Headphones,Electronics,3,8000,24000,2025-10-18,Hyderabad,India,UPI,Completed
ORD00076,CUST0442,PRD015,Nestle Maggi 12pack,Groceries,1,180,180,2025-10-23,Jaipur,India,UPI,Completed
ORD00077,CUST0458,PRD010,Puma Shorts,Clothing,2,1200,2400,2025-11-17,Jaipur,India,Net Banking,Completed
ORD00078,CUST0192,PRD008,Zara Dress,Clothing,5,3500,17500,2026-01-14,Ahmedabad,India,Net Banking,Completed
ORD00079,CUST0344,PRD004,Dell Laptop,Electronics,1,55000,55000,2025-10-27,Surat,India,Credit Card,Completed
ORD00080,CUST0246,PRD015,Nestle Maggi 12pack,Groceries,3,180,540,2025-09-06,Delhi,India,Cash on Delivery,Pending
ORD00081,CUST0144,PRD018,Bookshelf,Furniture,4,4500,18000,2026-01-08,Ahmedabad,India,Net Banking,Completed
ORD00082,CUST0074,PRD003,Sony Headphones,Electronics,2,8000,16000,2025-11-15,Surat,India,Credit Card,Completed
ORD00083,CUST0360,PRD009,Adidas Jacket,Clothing,5,4500,22500,2026-02-18,Pune,India,UPI,Completed
ORD00084,CUST0322,PRD014,Aashirvaad Atta 10kg,Groceries,2,450,900,2025-11-14,Delhi,India,Debit Card,Cancelled
ORD00085,CUST0315,PRD002,Apple iPhone 14,Electronics,1,75000,75000,2025-11-08,Delhi,India,Debit Card,Completed
ORD00086,CUST0007,PRD011,Tata Salt 1kg,Groceries,1,25,25,2026-02-10,Bangalore,India,Cash on Delivery,Completed
ORD00087,CUST0150,PRD011,Tata Salt 1kg,Groceries,3,25,75,2025-11-21,Chennai,India,Cash on Delivery,Pending
ORD00088,CUST0188,PRD001,Samsung Galaxy S23,Electronics,5,45000,225000,2026-01-29,Chennai,India,UPI,Completed
ORD00089,CUST0453,PRD018,Bookshelf,Furniture,5,4500,22500,2026-01-15,Mumbai,India,Credit Card,Completed
ORD00090,CUST0105,PRD021,Cricket Bat,Sports,4,2500,10000,2025-12-26,Delhi,India,Net Banking,Cancelled
ORD00091,CUST0261,PRD001,Samsung Galaxy S23,Electronics,2,45000,90000,2026-02-23,Ahmedabad,India,Debit Card,Pending
ORD00092,CUST0282,PRD001,Samsung Galaxy S23,Electronics,4,45000,180000,2025-11-26,Chennai,India,Debit Card,Cancelled
ORD00093,CUST0254,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-11-20,Ahmedabad,India,Cash on Delivery,Completed
ORD00094,CUST0199,PRD013,Fortune Rice 5kg,Groceries,2,350,700,2026-01-06,Ahmedabad,India,Credit Card,Completed
ORD00095,CUST0435,PRD010,Puma Shorts,Clothing,2,1200,2400,2026-02-04,Pune,India,Debit Card,Completed
ORD00096,CUST0042,PRD009,Adidas Jacket,Clothing,3,4500,13500,2026-02-18,Pune,India,Net Banking,Completed
ORD00097,CUST0100,PRD008,Zara Dress,Clothing,5,3500,17500,2025-11-17,Surat,India,Debit Card,Pending
ORD00098,CUST0282,PRD010,Puma Shorts,Clothing,5,1200,6000,2025-09-21,Pune,India,Debit Card,Completed
ORD00099,CUST0400,PRD012,Amul Butter 500g,Groceries,4,280,1120,2025-12-21,Jaipur,India,Net Banking,Completed
ORD00100,CUST0420,PRD025,Cycling Helmet,Sports,3,1800,5400,2026-01-17,Kolkata,India,Debit Card,Cancelled
ORD00101,CUST0051,PRD004,Dell Laptop,Electronics,1,55000,55000,2026-01-24,Pune,India,Debit Card,Completed
ORD00102,CUST0165,PRD013,Fortune Rice 5kg,Groceries,3,350,1050,2025-10-13,Delhi,India,Credit Card,Pending
ORD00103,CUST0472,PRD007,Nike T-Shirt,Clothing,1,1500,1500,2026-01-05,Pune,India,Net Banking,Completed
ORD00104,CUST0078,PRD006,Levis Jeans,Clothing,1,2500,2500,2025-10-12,Pune,India,Debit Card,Completed
ORD00105,CUST0448,PRD009,Adidas Jacket,Clothing,4,4500,18000,2026-03-01,Jaipur,India,Debit Card,Completed
ORD00106,CUST0050,PRD025,Cycling Helmet,Sports,1,1800,1800,2025-09-22,Delhi,India,Credit Card,Completed
ORD00107,CUST0082,PRD010,Puma Shorts,Clothing,4,1200,4800,2025-12-26,Jaipur,India,UPI,Cancelled
ORD00108,CUST0450,PRD020,King Size Bed,Furniture,2,35000,70000,2026-01-23,Ahmedabad,India,Credit Card,Pending
ORD00109,CUST0478,PRD003,Sony Headphones,Electronics,4,8000,32000,2026-01-02,Chennai,India,UPI,Completed
ORD00110,CUST0236,PRD011,Tata Salt 1kg,Groceries,3,25,75,2025-11-21,Ahmedabad,India,UPI,Pending
ORD00111,CUST0226,PRD011,Tata Salt 1kg,Groceries,3,25,75,2025-10-23,Pune,India,UPI,Completed
ORD00112,CUST0408,PRD025,Cycling Helmet,Sports,5,1800,9000,2025-12-15,Mumbai,India,Net Banking,Cancelled
ORD00113,CUST0223,PRD025,Cycling Helmet,Sports,4,1800,7200,2025-09-04,Hyderabad,India,Debit Card,Completed
ORD00114,CUST0321,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-09-07,Pune,India,Net Banking,Completed
ORD00115,CUST0214,PRD006,Levis Jeans,Clothing,2,2500,5000,2025-10-10,Jaipur,India,UPI,Completed
ORD00116,CUST0439,PRD015,Nestle Maggi 12pack,Groceries,4,180,720,2025-12-27,Kolkata,India,Debit Card,Completed
ORD00117,CUST0499,PRD019,Sofa 3 Seater,Furniture,4,25000,100000,2025-11-23,Hyderabad,India,Cash on Delivery,Completed
ORD00118,CUST0072,PRD017,Office Chair,Furniture,3,6500,19500,2025-10-23,Bangalore,India,Debit Card,Completed
ORD00119,CUST0436,PRD009,Adidas Jacket,Clothing,2,4500,9000,2025-09-21,Surat,India,Debit Card,Completed
ORD00120,CUST0335,PRD004,Dell Laptop,Electronics,1,55000,55000,2026-01-13,Surat,India,Debit Card,Completed
ORD00121,CUST0383,PRD018,Bookshelf,Furniture,5,4500,22500,2026-01-02,Chennai,India,Credit Card,Completed
ORD00122,CUST0309,PRD002,Apple iPhone 14,Electronics,4,75000,300000,2025-10-29,Surat,India,Cash on Delivery,Completed
ORD00123,CUST0307,PRD004,Dell Laptop,Electronics,3,55000,165000,2025-10-20,Surat,India,Credit Card,Completed
ORD00124,CUST0051,PRD017,Office Chair,Furniture,4,6500,26000,2026-01-23,Hyderabad,India,Credit Card,Completed
ORD00125,CUST0361,PRD017,Office Chair,Furniture,3,6500,19500,2025-09-07,Pune,India,UPI,Pending
ORD00126,CUST0011,PRD019,Sofa 3 Seater,Furniture,2,25000,50000,2026-01-21,Jaipur,India,Credit Card,Completed
ORD00127,CUST0305,PRD004,Dell Laptop,Electronics,2,55000,110000,2026-01-12,Jaipur,India,Net Banking,Completed
ORD00128,CUST0108,PRD012,Amul Butter 500g,Groceries,1,280,280,2025-10-23,Mumbai,India,Cash on Delivery,Cancelled
ORD00129,CUST0176,PRD025,Cycling Helmet,Sports,4,1800,7200,2026-01-03,Bangalore,India,Debit Card,Completed
ORD00130,CUST0339,PRD003,Sony Headphones,Electronics,3,8000,24000,2026-03-01,Hyderabad,India,UPI,Completed
ORD00131,CUST0179,PRD007,Nike T-Shirt,Clothing,1,1500,1500,2025-09-24,Ahmedabad,India,Credit Card,Pending
ORD00132,CUST0116,PRD023,Yoga Mat,Sports,1,600,600,2025-12-30,Jaipur,India,Credit Card,Cancelled
ORD00133,CUST0395,PRD003,Sony Headphones,Electronics,2,8000,16000,2025-09-02,Kolkata,India,Debit Card,Completed
ORD00134,CUST0041,PRD014,Aashirvaad Atta 10kg,Groceries,1,450,450,2026-01-21,Surat,India,UPI,Completed
ORD00135,CUST0421,PRD019,Sofa 3 Seater,Furniture,4,25000,100000,2025-09-12,Pune,India,Credit Card,Completed
ORD00136,CUST0023,PRD023,Yoga Mat,Sports,4,600,2400,2025-10-18,Kolkata,India,UPI,Completed
ORD00137,CUST0357,PRD021,Cricket Bat,Sports,2,2500,5000,2025-11-05,Jaipur,India,UPI,Pending
ORD00138,CUST0495,PRD010,Puma Shorts,Clothing,5,1200,6000,2026-01-06,Pune,India,UPI,Cancelled
ORD00139,CUST0109,PRD017,Office Chair,Furniture,1,6500,6500,2025-10-27,Mumbai,India,UPI,Completed
ORD00140,CUST0394,PRD014,Aashirvaad Atta 10kg,Groceries,1,450,450,2026-01-18,Hyderabad,India,Cash on Delivery,Completed
ORD00141,CUST0180,PRD019,Sofa 3 Seater,Furniture,3,25000,75000,2026-02-10,Pune,India,Credit Card,Completed
ORD00142,CUST0138,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-11-22,Surat,India,Net Banking,Completed
ORD00143,CUST0193,PRD022,Football,Sports,2,800,1600,2025-12-16,Hyderabad,India,Credit Card,Completed
ORD00144,CUST0025,PRD022,Football,Sports,2,800,1600,2025-12-15,Surat,India,Cash on Delivery,Pending
ORD00145,CUST0365,PRD018,Bookshelf,Furniture,2,4500,9000,2025-11-17,Mumbai,India,Cash on Delivery,Pending
ORD00146,CUST0468,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-10-07,Hyderabad,India,Credit Card,Cancelled
ORD00147,CUST0397,PRD014,Aashirvaad Atta 10kg,Groceries,4,450,1800,2025-09-25,Kolkata,India,Net Banking,Pending
ORD00148,CUST0167,PRD013,Fortune Rice 5kg,Groceries,2,350,700,2026-02-22,Mumbai,India,Net Banking,Completed
ORD00149,CUST0333,PRD021,Cricket Bat,Sports,5,2500,12500,2025-09-25,Surat,India,UPI,Cancelled
ORD00150,CUST0376,PRD012,Amul Butter 500g,Groceries,3,280,840,2025-12-09,Chennai,India,Cash on Delivery,Cancelled
ORD00151,CUST0363,PRD003,Sony Headphones,Electronics,2,8000,16000,2025-12-05,Hyderabad,India,Cash on Delivery,Completed
ORD00152,CUST0214,PRD013,Fortune Rice 5kg,Groceries,2,350,700,2025-10-06,Ahmedabad,India,Net Banking,Completed
ORD00153,CUST0060,PRD006,Levis Jeans,Clothing,5,2500,12500,2026-01-27,Jaipur,India,Cash on Delivery,Completed
ORD00154,CUST0246,PRD023,Yoga Mat,Sports,1,600,600,2026-02-02,Mumbai,India,Credit Card,Pending
ORD00155,CUST0320,PRD025,Cycling Helmet,Sports,1,1800,1800,2025-12-10,Jaipur,India,Net Banking,Completed
ORD00156,CUST0128,PRD017,Office Chair,Furniture,2,6500,13000,2026-02-27,Mumbai,India,Cash on Delivery,Pending
ORD00157,CUST0014,PRD025,Cycling Helmet,Sports,4,1800,7200,2025-09-12,Ahmedabad,India,UPI,Cancelled
ORD00158,CUST0119,PRD011,Tata Salt 1kg,Groceries,2,25,50,2025-11-04,Kolkata,India,Net Banking,Completed
ORD00159,CUST0189,PRD006,Levis Jeans,Clothing,3,2500,7500,2025-12-01,Mumbai,India,UPI,Pending
ORD00160,CUST0288,PRD018,Bookshelf,Furniture,5,4500,22500,2025-10-29,Mumbai,India,UPI,Cancelled
ORD00161,CUST0012,PRD022,Football,Sports,5,800,4000,2025-09-17,Bangalore,India,Credit Card,Cancelled
ORD00162,CUST0336,PRD013,Fortune Rice 5kg,Groceries,5,350,1750,2025-10-09,Chennai,India,Debit Card,Completed
ORD00163,CUST0380,PRD008,Zara Dress,Clothing,4,3500,14000,2025-10-29,Bangalore,India,Credit Card,Completed
ORD00164,CUST0045,PRD011,Tata Salt 1kg,Groceries,5,25,125,2025-09-18,Delhi,India,Credit Card,Cancelled
ORD00165,CUST0287,PRD014,Aashirvaad Atta 10kg,Groceries,5,450,2250,2026-01-15,Jaipur,India,UPI,Completed
ORD00166,CUST0244,PRD020,King Size Bed,Furniture,4,35000,140000,2025-12-31,Hyderabad,India,Cash on Delivery,Pending
ORD00167,CUST0223,PRD006,Levis Jeans,Clothing,5,2500,12500,2025-11-11,Mumbai,India,Credit Card,Cancelled
ORD00168,CUST0394,PRD012,Amul Butter 500g,Groceries,4,280,1120,2025-09-21,Mumbai,India,Net Banking,Completed
ORD00169,CUST0329,PRD007,Nike T-Shirt,Clothing,2,1500,3000,2025-09-14,Pune,India,Net Banking,Cancelled
ORD00170,CUST0166,PRD020,King Size Bed,Furniture,3,35000,105000,2025-11-30,Bangalore,India,Cash on Delivery,Cancelled
ORD00171,CUST0163,PRD010,Puma Shorts,Clothing,5,1200,6000,2026-02-22,Hyderabad,India,Net Banking,Completed
ORD00172,CUST0175,PRD020,King Size Bed,Furniture,5,35000,175000,2026-01-21,Hyderabad,India,Cash on Delivery,Completed
ORD00173,CUST0338,PRD006,Levis Jeans,Clothing,1,2500,2500,2025-11-28,Pune,India,Credit Card,Completed
ORD00174,CUST0248,PRD006,Levis Jeans,Clothing,3,2500,7500,2025-10-28,Delhi,India,Debit Card,Completed
ORD00175,CUST0393,PRD006,Levis Jeans,Clothing,4,2500,10000,2025-10-19,Pune,India,Cash on Delivery,Completed
ORD00176,CUST0488,PRD013,Fortune Rice 5kg,Groceries,3,350,1050,2025-12-25,Bangalore,India,UPI,Completed
ORD00177,CUST0161,PRD011,Tata Salt 1kg,Groceries,5,25,125,2025-09-14,Pune,India,UPI,Completed
ORD00178,CUST0378,PRD004,Dell Laptop,Electronics,3,55000,165000,2026-02-09,Hyderabad,India,Net Banking,Pending
ORD00179,CUST0446,PRD022,Football,Sports,3,800,2400,2025-12-01,Bangalore,India,Credit Card,Cancelled
ORD00180,CUST0403,PRD019,Sofa 3 Seater,Furniture,1,25000,25000,2026-02-09,Pune,India,Debit Card,Completed
ORD00181,CUST0229,PRD019,Sofa 3 Seater,Furniture,1,25000,25000,2026-02-21,Pune,India,Debit Card,Completed
ORD00182,CUST0129,PRD023,Yoga Mat,Sports,2,600,1200,2025-12-03,Mumbai,India,Cash on Delivery,Cancelled
ORD00183,CUST0413,PRD001,Samsung Galaxy S23,Electronics,1,45000,45000,2025-12-12,Pune,India,Debit Card,Cancelled
ORD00184,CUST0255,PRD024,Badminton Racket,Sports,2,1200,2400,2026-01-31,Hyderabad,India,Cash on Delivery,Pending
ORD00185,CUST0458,PRD021,Cricket Bat,Sports,4,2500,10000,2025-12-08,Ahmedabad,India,Credit Card,Pending
ORD00186,CUST0099,PRD013,Fortune Rice 5kg,Groceries,4,350,1400,2025-12-11,Hyderabad,India,Net Banking,Pending
ORD00187,CUST0411,PRD017,Office Chair,Furniture,5,6500,32500,2026-01-27,Delhi,India,Credit Card,Completed
ORD00188,CUST0024,PRD014,Aashirvaad Atta 10kg,Groceries,3,450,1350,2025-10-21,Jaipur,India,Cash on Delivery,Cancelled
ORD00189,CUST0489,PRD003,Sony Headphones,Electronics,2,8000,16000,2026-01-29,Pune,India,Credit Card,Completed
ORD00190,CUST0016,PRD018,Bookshelf,Furniture,4,4500,18000,2025-09-25,Kolkata,India,Cash on Delivery,Completed
ORD00191,CUST0376,PRD020,King Size Bed,Furniture,3,35000,105000,2025-09-10,Delhi,India,Credit Card,Completed
ORD00192,CUST0413,PRD024,Badminton Racket,Sports,2,1200,2400,2025-10-25,Jaipur,India,Net Banking,Completed
ORD00193,CUST0416,PRD016,Wooden Study Table,Furniture,3,8500,25500,2025-09-07,Delhi,India,Net Banking,Completed
ORD00194,CUST0298,PRD023,Yoga Mat,Sports,3,600,1800,2026-01-12,Bangalore,India,Credit Card,Completed
ORD00195,CUST0389,PRD015,Nestle Maggi 12pack,Groceries,1,180,180,2025-09-30,Delhi,India,UPI,Completed
ORD00196,CUST0361,PRD002,Apple iPhone 14,Electronics,3,75000,225000,2025-10-06,Chennai,India,UPI,Completed
ORD00197,CUST0360,PRD022,Football,Sports,2,800,1600,2025-12-05,Delhi,India,Net Banking,Completed
ORD00198,CUST0119,PRD011,Tata Salt 1kg,Groceries,2,25,50,2025-11-16,Bangalore,India,UPI,Pending
ORD00199,CUST0257,PRD022,Football,Sports,3,800,2400,2026-01-16,Bangalore,India,UPI,Pending
ORD00200,CUST0238,PRD017,Office Chair,Furniture,5,6500,32500,2025-12-12,Ahmedabad,India,Debit Card,Pending
ORD00201,CUST0400,PRD023,Yoga Mat,Sports,4,600,2400,2025-12-31,Chennai,India,UPI,Cancelled
ORD00202,CUST0396,PRD007,Nike T-Shirt,Clothing,2,1500,3000,2025-09-21,Delhi,India,Debit Card,Completed
ORD00203,CUST0308,PRD023,Yoga Mat,Sports,1,600,600,2025-10-18,Bangalore,India,Cash on Delivery,Completed
ORD00204,CUST0054,PRD016,Wooden Study Table,Furniture,1,8500,8500,2025-09-24,Jaipur,India,UPI,Completed
ORD00205,CUST0386,PRD010,Puma Shorts,Clothing,1,1200,1200,2025-09-13,Hyderabad,India,UPI,Completed
ORD00206,CUST0017,PRD024,Badminton Racket,Sports,2,1200,2400,2025-10-18,Kolkata,India,UPI,Completed
ORD00207,CUST0406,PRD019,Sofa 3 Seater,Furniture,1,25000,25000,2025-10-09,Hyderabad,India,Debit Card,Completed
ORD00208,CUST0315,PRD021,Cricket Bat,Sports,2,2500,5000,2025-09-19,Jaipur,India,Net Banking,Pending
ORD00209,CUST0404,PRD013,Fortune Rice 5kg,Groceries,4,350,1400,2025-10-18,Ahmedabad,India,UPI,Completed
ORD00210,CUST0407,PRD002,Apple iPhone 14,Electronics,3,75000,225000,2025-09-25,Hyderabad,India,Cash on Delivery,Completed
ORD00211,CUST0488,PRD012,Amul Butter 500g,Groceries,5,280,1400,2026-02-11,Mumbai,India,Credit Card,Completed
ORD00212,CUST0270,PRD002,Apple iPhone 14,Electronics,4,75000,300000,2025-10-15,Bangalore,India,Credit Card,Completed
ORD00213,CUST0255,PRD006,Levis Jeans,Clothing,5,2500,12500,2025-11-06,Mumbai,India,Debit Card,Completed
ORD00214,CUST0427,PRD025,Cycling Helmet,Sports,1,1800,1800,2026-01-23,Hyderabad,India,Debit Card,Pending
ORD00215,CUST0176,PRD007,Nike T-Shirt,Clothing,3,1500,4500,2025-10-14,Ahmedabad,India,UPI,Completed
ORD00216,CUST0268,PRD021,Cricket Bat,Sports,5,2500,12500,2026-01-03,Mumbai,India,Cash on Delivery,Pending
ORD00217,CUST0252,PRD015,Nestle Maggi 12pack,Groceries,1,180,180,2025-09-12,Mumbai,India,Net Banking,Completed
ORD00218,CUST0182,PRD009,Adidas Jacket,Clothing,3,4500,13500,2025-09-22,Chennai,India,Cash on Delivery,Pending
